NAME,WEEK,AVG,R,HR,RBI,SB,OPS,IP,SV,K,ERA,WHIP,QS
Aces Up My Sleeve,1,0.266,66,13,49,6,0.794,85.33,3,86,3.69,1.35,7
Aces Up My Sleeve,2,0.278,40,14,41,1,0.877,56.66,2,62,2.22,0.78,5
Aces Up My Sleeve,3,0.22,32,12,29,3,0.708,69,0,58,2.61,1.16,6
Aces Up My Sleeve,4,0.285,44,7,42,7,0.826,67,2,65,3.76,1.13,7
Aces Up My Sleeve,5,0.283,40,16,63,7,0.92,76.66,0,76,3.4,1.38,6
Aces Up My Sleeve,6,0.255,37,11,39,5,0.754,62.33,0,63,3.9,1.16,5
Aces Up My Sleeve,7,0.196,30,12,45,5,0.734,45,3,49,3.8,1.31,4
Aces Up My Sleeve,8,0.276,34,17,49,3,0.877,49.66,3,46,2.54,0.97,4
Aces Up My Sleeve,9,0.301,34,8,44,4,0.821,84,3,93,3,1.12,8
Aces Up My Sleeve,10,0.266,31,14,33,2,0.786,56.66,5,63,3.49,1.02,6
Aces Up My Sleeve,11,0.234,30,14,35,1,0.746,49,4,46,4.04,1.12,4
Aces Up My Sleeve,12,0.222,30,6,26,1,0.614,36.66,4,39,2.7,0.98,3
Aces Up My Sleeve,13,0.233,26,7,25,3,0.629,69.33,0,61,4.67,1.49,5
Aces Up My Sleeve,14,0.256,40,11,47,0,0.764,76,2,66,4.03,1.49,6
Aces Up My Sleeve,15,0.265,42,9,33,5,0.743,81.33,2,90,3.43,1.11,7
Aces Up My Sleeve,16,0.282,62,19,67,2,0.805,93,4,85,4.65,1.37,9
Aces Up My Sleeve,17,0.233,26,6,23,3,0.626,65.33,3,60,4.27,1.35,6
Aces Up My Sleeve,18,0.252,37,12,36,4,0.716,64.33,1,45,4.06,1.37,6
Aces Up My Sleeve,19,0.263,35,15,52,5,0.786,62,0,74,3.77,1.26,6
Aces Up My Sleeve,20,0.235,27,10,36,1,0.722,36.33,1,40,2.48,1.49,2
Aces Up My Sleeve,21,0.196,25,8,29,2,0.579,75.66,1,81,3.69,1.24,6
Aces Up My Sleeve,22,0.265,31,15,37,2,0.814,54.33,2,62,3.64,1.1,5
Aces Up My Sleeve,1st Half Averages,0.256,37.07,11.4,40,3.53,0.773,64.31,2.2,64.2,3.42,1.17,5.53
Aces Up My Sleeve,2nd Half Averages,0.247,34.71,12.14,40,2.71,0.721,64.43,1.71,63.86,3.79,1.31,5.71
Aces Up My Sleeve,Season Averages,0.253,36.32,11.64,40,3.27,0.756,64.35,2.05,64.09,3.54,1.22,5.59
